itemid,label,fluid,category,valueuom,loinc,notes
51121,Myelocytes,Ascites,Hematology,%,,
51122,Nucleated RBC,Ascites,Hematology,%,,
51123,Other,Ascites,Hematology,%,,
51124,Plasma,Ascites,Hematology,%,,
51126,Promyelocytes,Ascites,Hematology,%,,
51129,Young,Ascites,Hematology,%,,
51135,ADP,Blood,Hematology,,,
51136,Alpha Antiplasmin,Blood,Hematology,,,
51138,Anticardiolipin Antibody IgG,Blood,Hematology,GPL,,
51139,Anticardiolipin Antibody IgM,Blood,Hematology,MPL,,
51140,Antithrombin,Blood,Hematology,%,,
51141,APT Test,Blood,Hematology,,,
51142,Arachadonic Acid,Blood,Hematology,,,
51149,Bleeding Time,Blood,Hematology,min,,
51150,Blood Parasite Smear,Blood,Hematology,N/A,,
51152,CD10,Blood,Hematology,,,
51153,CD103,Blood,Hematology,,,
51154,CD117,Blood,Hematology,,,
51155,CD11c,Blood,Hematology,,,
51156,CD13,Blood,Hematology,,,
51157,CD138,Blood,Hematology,,,
51158,CD14,Blood,Hematology,,,
51159,CD15,Blood,Hematology,,,
51161,CD16,Blood,Hematology,,,
51162,CD16/56 Absolute Count,Blood,Hematology,#/uL,,
51163,CD16/56%,Blood,Hematology,%,,
51164,CD19,Blood,Hematology,,,
51165,CD19 %,Blood,Hematology,%,,
51166,CD19 Absolute Count,Blood,Hematology,#/uL,,
51167,CD2,Blood,Hematology,,,
51168,CD20,Blood,Hematology,,,
51169,CD20 %,Blood,Hematology,%,,
51170,CD20 Absolute Count,Blood,Hematology,#/uL,,
51171,CD22,Blood,Hematology,,,
51172,CD23,Blood,Hematology,,,
51173,CD25,Blood,Hematology,,,
51174,CD3 %,Blood,Hematology,%,,
51175,CD3 Absolute Count,Blood,Hematology,#/uL,,
51177,CD33,Blood,Hematology,,,
51178,CD34,Blood,Hematology,%,,
51179,CD38,Blood,Hematology,,,
51182,CD41,Blood,Hematology,,,
51183,CD45,Blood,Hematology,,,
51184,CD5,Blood,Hematology,,,
51185,CD5 %,Blood,Hematology,%,,
51186,CD5 Absolute Count,Blood,Hematology,#/uL,,
51187,CD55,Blood,Hematology,,,
51188,CD56,Blood,Hematology,,,
51189,CD57,Blood,Hematology,,,
51190,CD59,Blood,Hematology,,,
51191,CD64,Blood,Hematology,,,
51192,CD7,Blood,Hematology,,,
51193,CD71,Blood,Hematology,,,
51195,Collagen,Blood,Hematology,,,
51198,Envelope Cells,Blood,Hematology,N/A,,
51199,Eosinophil Count,Blood,Hematology,#/uL,,
51201,Epinepherine,Blood,Hematology,,,
51202,Factor II,Blood,Hematology,%,,
51204,Factor V,Blood,Hematology,%,,
51205,Factor VII,Blood,Hematology,%,,
51206,Factor VIII,Blood,Hematology,%,,
51207,Factor VIII Inhibitor,Blood,Hematology,N/A,,
51208,Factor X,Blood,Hematology,%,,
51209,Factor XI,Blood,Hematology,%,,
51210,Factor XII,Blood,Hematology,%,,
51212,Fetal Hemoglobin,Blood,Hematology,%,,
51213,Fibrin Degradation Products,Blood,Hematology,ug/mL,,
51215,FMC-7,Blood,Hematology,,,
51216,Fragmented Cells,Blood,Hematology,N/A,,
51217,Glyco A,Blood,Hematology,,,
51220,Heinz Body Prep,Blood,Hematology,N/A,,
51228,Heparin,Blood,Hematology,U/mL|IU/mL,,
51229,"Heparin, LMW",Blood,Hematology,U/mL|IU/mL,,
51230,HLA-DR,Blood,Hematology,,,
51231,Howell-Jolly Bodies,Blood,Hematology,N/A,,
51234,Immunophenotyping,Blood,Hematology,,,
51235,Inhibitor Screen,Blood,Hematology,,,
51236,Inpatient Hematology/Oncology Smear,Blood,Hematology,,,
51238,Kappa,Blood,Hematology,,,
51239,Lambda,Blood,Hematology,,,
51240,Large Platelets,Blood,Hematology,,,
51241,Leukocyte Alkaline Phosphatase,Blood,Hematology,Score,,
51242,LUC,Blood,Hematology,%,,
51243,Lupus Anticoagulant,Blood,Hematology,N/A,,
51247,MacroOvalocytes,Blood,Hematology,N/A,,
51253,Monocyte Count,Blood,Hematology,#/uL,,
51258,Osmotic Fragility,Blood,Hematology,,,
51261,Pappenheimer Bodies,Blood,Hematology,N/A,,
51262,Pencil Cells,Blood,Hematology,N/A,,
51263,Plasma Cells,Blood,Hematology,%,,
51264,Platelet Clumps,Blood,Hematology,,,
51270,"Protein C, Antigen",Blood,Hematology,%,,
51271,"Protein C, Functional",Blood,Hematology,%,,
51272,"Protein S, Antigen",Blood,Hematology,%,,
51273,"Protein S, Functional",Blood,Hematology,%,,
51276,Quantitative G6PD,Blood,Hematology,U/g/Hb,,
51278,Red Blood Cell Fragments,Blood,Hematology,,,
51280,Reptilase Time,Blood,Hematology,sec,,
51281,Reptilase Time Control,Blood,Hematology,sec,,
51284,"Reticulocyte Count, Manual",Blood,Hematology,%,,
51285,"Reticulocyte, Cellular Hemoglobin",Blood,Hematology,,,
51286,Ristocetin,Blood,Hematology,,,
51289,Serum Viscosity,Blood,Hematology, ,,
51290,Sickle Cell Preparation,Blood,Hematology,N/A,,
51291,Sickle Cells,Blood,Hematology,N/A,,
51293,Sugar Water Test,Blood,Hematology,,,
51295,TdT,Blood,Hematology,,,
51297,Thrombin,Blood,Hematology,sec,,
51298,Von Willebrand Factor Activity,Blood,Hematology,%,,
51302,Young Cells,Blood,Hematology,%,,
51303,CD10,Bone Marrow,Hematology,,,
51304,CD103,Bone Marrow,Hematology,,,
51305,CD117,Bone Marrow,Hematology,,,
51306,CD11c,Bone Marrow,Hematology,,,
51307,CD13,Bone Marrow,Hematology,,,
51308,CD138,Bone Marrow,Hematology,,,
51309,CD14,Bone Marrow,Hematology,,,
51310,CD15,Bone Marrow,Hematology,,,
51311,CD16,Bone Marrow,Hematology,,,
51312,CD16/56,Bone Marrow,Hematology,,,
51313,CD19,Bone Marrow,Hematology,,,
51314,CD2,Bone Marrow,Hematology,,,
51315,CD20,Bone Marrow,Hematology,,,
51316,CD22,Bone Marrow,Hematology,,,
51317,CD23,Bone Marrow,Hematology,,,
51318,CD25,Bone Marrow,Hematology,,,
51319,CD3,Bone Marrow,Hematology,,,
51320,CD33,Bone Marrow,Hematology,,,
51321,CD34,Bone Marrow,Hematology,,,
51322,CD38,Bone Marrow,Hematology,,,
51323,CD4,Bone Marrow,Hematology,,,
51324,CD41,Bone Marrow,Hematology,,,
51325,CD45,Bone Marrow,Hematology,,,
51326,CD5,Bone Marrow,Hematology,,,
51327,CD55,Bone Marrow,Hematology,,,
51328,CD56,Bone Marrow,Hematology,,,
51329,CD57,Bone Marrow,Hematology,,,
51330,CD59,Bone Marrow,Hematology,,,
51331,CD64,Bone Marrow,Hematology,,,
51332,CD7,Bone Marrow,Hematology,,,
51333,CD71,Bone Marrow,Hematology,,,
51334,CD8,Bone Marrow,Hematology,,,
51335,FMC-7,Bone Marrow,Hematology,,,
51336,Glyco A,Bone Marrow,Hematology,,,
51337,HLA-DR,Bone Marrow,Hematology,,,
51338,Immunophenotyping,Bone Marrow,Hematology,,,
51339,Iron Stain,Bone Marrow,Hematology,,,
51340,Kappa,Bone Marrow,Hematology,,,
51341,Lambda,Bone Marrow,Hematology,,,
51342,Wright Giemsa,Bone Marrow,Hematology,,,
51365,Atypical Lymphocytes,Joint Fluid,Hematology,%,,
51366,Bands,Joint Fluid,Hematology,%,,
51367,Basophils,Joint Fluid,Hematology,%,,
51368,Eosinophils,Joint Fluid,Hematology,%,,
51369,"Hematocrit, Joint Fluid",Joint Fluid,Hematology,%,,
51370,"Joint Crystals, Birefringence",Joint Fluid,Hematology,,,
51371,"Joint Crystals, Comment",Joint Fluid,Hematology,,,
51372,"Joint Crystals, Location",Joint Fluid,Hematology,,,
51373,"Joint Crystals, Number",Joint Fluid,Hematology,,,
51374,"Joint Crystals, Shape",Joint Fluid,Hematology,,,
51375,Lymphocytes,Joint Fluid,Hematology,%,,
51376,Macrophage,Joint Fluid,Hematology,%,,
51377,Mesothelial Cells,Joint Fluid,Hematology,%,,
51378,Metamyelocytes,Joint Fluid,Hematology,%,,
51379,Monocytes,Joint Fluid,Hematology,%,,
51380,NRBC,Joint Fluid,Hematology,%,,
51381,Other,Joint Fluid,Hematology,%,,
51382,Polys,Joint Fluid,Hematology,%,,
51383,"RBC, Joint Fluid",Joint Fluid,Hematology,#/uL,,
51385,Atypical Lymphocytes,Other Body Fluid,Hematology,%,,
51386,Bands,Other Body Fluid,Hematology,%,,
51387,Basophils,Other Body Fluid,Hematology,%,,
51388,CD10,Other Body Fluid,Hematology,,,
51389,CD103,Other Body Fluid,Hematology,,,
51390,CD117,Other Body Fluid,Hematology,,,
51391,CD11c,Other Body Fluid,Hematology,,,
51392,CD13,Other Body Fluid,Hematology,,,
51393,CD138,Other Body Fluid,Hematology,,,
51394,CD14,Other Body Fluid,Hematology,,,
51395,CD15,Other Body Fluid,Hematology,,,
51396,CD16,Other Body Fluid,Hematology,,,
51397,CD16/56,Other Body Fluid,Hematology,,,
51398,CD19,Other Body Fluid,Hematology,,,
51399,CD2,Other Body Fluid,Hematology,,,
51400,CD20,Other Body Fluid,Hematology,,,
51401,CD22,Other Body Fluid,Hematology,,,
51402,CD23,Other Body Fluid,Hematology,,,
51403,CD25,Other Body Fluid,Hematology,,,
51404,CD3,Other Body Fluid,Hematology,,,
51405,CD33,Other Body Fluid,Hematology,,,
51406,CD34,Other Body Fluid,Hematology,#/uL,,
51407,CD38,Other Body Fluid,Hematology,,,
51408,CD4,Other Body Fluid,Hematology,,,
51409,CD4/CD8 Ratio,Other Body Fluid,Hematology,,,
51410,CD41,Other Body Fluid,Hematology,,,
51411,CD45,Other Body Fluid,Hematology,,,
51412,CD5,Other Body Fluid,Hematology,,,
51413,CD56,Other Body Fluid,Hematology,,,
51414,CD57,Other Body Fluid,Hematology,,,
51415,CD64,Other Body Fluid,Hematology,,,
51416,CD7,Other Body Fluid,Hematology,,,
51417,CD71,Other Body Fluid,Hematology,,,
51418,CD8,Other Body Fluid,Hematology,,,
51419,Eosinophils,Other Body Fluid,Hematology,%,,
51420,FMC-7,Other Body Fluid,Hematology,,,
51421,Glyco A,Other Body Fluid,Hematology,,,
51422,"Hematocrit, Other Fluid",Other Body Fluid,Hematology,%,,
51423,HLA-DR,Other Body Fluid,Hematology,,,
51424,Immunophenotyping,Other Body Fluid,Hematology,,,
51425,Kappa,Other Body Fluid,Hematology,,,
51426,Lambda,Other Body Fluid,Hematology,,,
51427,Lymphocytes,Other Body Fluid,Hematology,%,,
51428,Macrophage,Other Body Fluid,Hematology,%,,
51429,Mesothelial cells,Other Body Fluid,Hematology,%,,
51430,Metamyelocytes,Other Body Fluid,Hematology,%,,
51431,Monos,Other Body Fluid,Hematology,%,,
51432,Myelocytes,Other Body Fluid,Hematology,%,,
51433,NRBC,Other Body Fluid,Hematology,%,,
51434,Other Cell,Other Body Fluid,Hematology,%,,
51435,Plasma,Other Body Fluid,Hematology,%,,
51436,Polys,Other Body Fluid,Hematology,%,,
51437,Promyelocytes,Other Body Fluid,Hematology,%,,
51438,"RBC, Other Fluid",Other Body Fluid,Hematology,#/uL,,
51440,Atypical Lymphocytes,Pleural,Hematology,%,,
51441,Bands,Pleural,Hematology,%,,
51442,Basophils,Pleural,Hematology,%,,
51443,Blasts,Pleural,Hematology,%,,
51444,Eosinophils,Pleural,Hematology,%,,
51445,"Hematocrit, Pleural",Pleural,Hematology,%,,
51447,Macrophages,Pleural,Hematology,%,,
51448,Mesothelial Cells,Pleural,Hematology,%,,
51449,Metamyelocytes,Pleural,Hematology,%,,
51451,Myelocytes,Pleural,Hematology,%,,
51452,NRBC,Pleural,Hematology,%,,
51453,Other,Pleural,Hematology,%,,
51454,Plasma Cells,Pleural,Hematology,%,,
51456,Promyelocytes,Pleural,Hematology,%,,
51457,"RBC, Pleural",Pleural,Hematology,#/uL,,
51459,Young Cells,Pleural,Hematology,%,,
51460,"Blood, Occult",Stool,Hematology,N/A,,
51461,Ammonium Biurate,Urine,Hematology,/hpf,,
51465,Bilirubin Crystals,Urine,Hematology,/hpf,,
51467,Broad Casts,Urine,Hematology,#/lpf,,
51468,Calcium Carbonate Crystals,Urine,Hematology,/hpf,,
51470,Calcium Phosphate Crystals,Urine,Hematology,/hpf,,
51471,Cellular Cast,Urine,Hematology,#/lpf,,
51472,Cholesterol Crystals,Urine,Hematology,/hpf,,
51474,Eosinophils,Urine,Hematology,,,
51475,Epithelial Casts,Urine,Hematology,#/lpf,,
51477,Free Fat,Urine,Hematology,,,
51480,Hematocrit,Urine,Hematology,%,,
51481,Hemosiderin,Urine,Hematology,N/A,,
51483,Hyphenated Yeast,Urine,Hematology,,,
51485,Leucine Crystals,Urine,Hematology,,,
51488,Non-squamous Epithelial Cells,Urine,Hematology,#/hpf,,
51489,NonSquamous Epithelial Cell,Urine,Hematology,#/hpf,,
51490,Oval Fat Body,Urine,Hematology,/hpf,,
51494,RBC Casts,Urine,Hematology,#/lpf,,
51495,RBC Clumps,Urine,Hematology,/hpf,,
51496,"Reducing Substances, Urine",Urine,Hematology,%,,
51497,Renal Epithelial Cells,Urine,Hematology,#/hpf,,
51499,Sperm,Urine,Hematology,,,
51500,Sulfonamides,Urine,Hematology,,,
51502,Trichomonas,Urine,Hematology,/hpf,,
51503,Triple Phosphate Crystals,Urine,Hematology,/hpf,,
51504,Tyrosine Crystals,Urine,Hematology,,,
51505,Uric Acid Crystals,Urine,Hematology,/hpf,,
51507,"Urine Casts, Other",Urine,Hematology,#/lpf,,
51509,Urine Comments,Urine,Hematology,,,
51510,"Urine Crystals, Other",Urine,Hematology,/hpf,,
51511,Urine Fat Bodies,Urine,Hematology,,,
51513,Urine Specimen Type,Urine,Hematology,,,
51515,Waxy Casts,Urine,Hematology,#/lpf,,
51517,WBC Casts,Urine,Hematology,#/lpf,,
51520,(Albumin),Ascites,Chemistry,,,
51521,Alpha-1,Ascites,Chemistry,,,
51522,Alpha-2,Ascites,Chemistry,,,
51523,Beta,Ascites,Chemistry,,,
51524,Clostrid,Ascites,Chemistry,,,
51525,Cryptococ,Ascites,Chemistry,,,
51526,Fl Scan,Ascites,Chemistry,,,
51527,"Immunoelectrophoresis, Ascites",Ascites,Chemistry,,,
51528,"Immunoglobulin G, Ascites",Ascites,Chemistry,,,
51529,"PEP, Ascites, Gamma Region",Ascites,Chemistry,,,
51530,"Uric Acid, Ascites",Ascites,Chemistry,,,
51531,Voided Specimen,Ascites,Chemistry,,,
51532,11-Deoxycorticosterone,Blood,Chemistry,,,
51533,3t,Blood,Chemistry,,,
51534,4t,Blood,Chemistry,,,
51535,5' Nucleotidase,Blood,Chemistry,,,
51536,Absolute Lymphocyte Count,Blood,Chemistry,,,
51537,Absolute Neutrophil,Blood,Chemistry,,,
51538,Absolute Other WBC,Blood,Chemistry,,,
51539,"Acid Phosphatase, Prostatic Fraction",Blood,Chemistry,,,
51540,Adrenocorticotrophic Hormone,Blood,Chemistry,,,
51541,Afp Mom,Blood,Chemistry,,,
51542,(Albumin),Blood,Chemistry,,,
51543,Aldosterone,Blood,Chemistry,,,
51544,Aldosterone,Blood,Chemistry,,,
51545,Alpha-1,Blood,Chemistry,,,
51546,Alpha-1-antitrypsin,Blood,Chemistry,,,
51547,Alpha-2,Blood,Chemistry,,,
51548,ANCA Titer,Blood,Chemistry,,,
51549,Anti-GBM Antibody,Blood,Chemistry,,,
51550,Anti Hav,Blood,Chemistry,,,
51551,Anti Hbc,Blood,Chemistry,,,
51552,Anti Hbe,Blood,Chemistry,,,
51553,Anti-hbs,Blood,Chemistry,,,
51554,Anti Hbs,Blood,Chemistry,,,
51555,Anti-la,Blood,Chemistry,,,
51556,Anti-Microsomal Antibodies,Blood,Chemistry,,,
51557,Anti-Microsomal Antibody,Blood,Chemistry,,,
51558,Antirnp,Blood,Chemistry,,,
51559,Anti-ro,Blood,Chemistry,,,
51560,Anti-Skin Antibody,Blood,Chemistry,,,
51561,Anti-sm,Blood,Chemistry,,,
51563,Argon,Blood,Chemistry,,,
51564,Beta,Blood,Chemistry,,,
51565,Beta Hydroxybutyrate,Blood,Chemistry,mmol/L,,
51566,"Bilirubin, Neonatal",Blood,Chemistry,,,
51567,"Bilirubin, Neonatal, Direct",Blood,Chemistry,,,
51568,"Bilirubin, Neonatal, Indirect",Blood,Chemistry,,,
51569,Billed,Blood,Chemistry,,,
51570,Bioavailable Testosterone,Blood,Chemistry,,,
51571,Bromide,Blood,Chemistry,,,
51572,C1 Inhibitor,Blood,Chemistry,,,
51573,C1q,Blood,Chemistry,,,
51574,C2,Blood,Chemistry,,,
51575,C5,Blood,Chemistry,,,
51576,C6,Blood,Chemistry,,,
51577,CA 19-9,Blood,Chemistry,U/mL,,
51578,Calculated CK-MB,Blood,Chemistry,,,
51579,Carotene,Blood,Chemistry,,,
51580,CH50,Blood,Chemistry,,,
51581,Chol Estr,Blood,Chemistry,,,
51582,Chylomicrons,Blood,Chemistry,,,
51583,Clostrid,Blood,Chemistry,,,
51584,CMV IgG Ab,Blood,Chemistry,,,
51585,CMV IgG Ab Value,Blood,Chemistry,,,
51586,CMV IgM Ab,Blood,Chemistry,,,
51587,CMV IgM Ab Value,Blood,Chemistry,,,
51588,CMV Interpretation,Blood,Chemistry,,,
51589,Confirmation,Blood,Chemistry,,,
51590,Conj Bili,Blood,Chemistry,,,
51591,Copper,Blood,Chemistry,,,
51592,"Creatine Kinase, Isoenzyme BB",Blood,Chemistry,,,
51593,"Creatine Kinase, Isoenzyme MB",Blood,Chemistry,,,
51594,"Creatine Kinase, Isoenzyme MM",Blood,Chemistry,,,
51595,Cvhlc,Blood,Chemistry,,,
51596,Cytomegalovirus Viral Load,Blood,Chemistry,log10 IU/mL,,
51597,D,Blood,Chemistry,,,
51598,Delete,Blood,Chemistry,,,
51599,Delete,Blood,Chemistry,,,
51600,Delete,Blood,Chemistry,,,
51601,Delete,Blood,Chemistry,,,
51602,Delete,Blood,Chemistry,,,
51603,Delta/Dlt,Blood,Chemistry,,,
51604,Digitoxin,Blood,Chemistry,,,
51605,"Dimeric Inhibin A, Maternal Screen",Blood,Chemistry,,,
51606,DirLst,Blood,Chemistry,,,
51607,Disopyramide,Blood,Chemistry,,,
51608,Dlta Bili,Blood,Chemistry,,,
51609,Down Syndrome Risk,Blood,Chemistry,,,
51610,Dr. X,Blood,Chemistry,,,
51612,Epstein-Barr Virus  EBNA IgG Ab,Blood,Chemistry,,,
51613,Epstein-Barr Virus EBNA IgG Ab,Blood,Chemistry,,,
51614,Epstein-Barr Virus IgG Ab Value,Blood,Chemistry,,,
51615,Epstein-Barr Virus IgM Ab Value,Blood,Chemistry,,,
51616,Epstein-Barr Virus Interpretation,Blood,Chemistry,,,
51617,Epstein-Barr Virus VCA IgG Ab,Blood,Chemistry,,,
51618,Epstein-Barr Virus VCA IgM Ab,Blood,Chemistry,,,
51619,Ethylene Glycol,Blood,Chemistry,mg/dL,,
51620,Factor B,Blood,Chemistry,,,
51621,Fibrinogen,Blood,Chemistry,,,
51622,Free Calcium,Blood,Chemistry,,,
51626,Fructosamine,Blood,Chemistry,,,
51627,Fructosamine Plus,Blood,Chemistry,,,
51628,Gamma,Blood,Chemistry,,,
51629,Glycated Hemoglobin,Blood,Chemistry,,,
51630,Growth Hormone,Blood,Chemistry,,,
51631,Hbeag,Blood,Chemistry,,,
51632,Hbsag,Blood,Chemistry,,,
51633,Hbsag,Blood,Chemistry,,,
51634,"HCG, Multiples of Median",Blood,Chemistry,,,
51635,"HCG, Qualitative",Blood,Chemistry,,,
51636,Hematocrit,Blood,Chemistry,%,,
51637,Hematocrit,Blood,Chemistry,,,
51638,Hemoglobin,Blood,Chemistry,,,
51639,Hemoglobin  A,Blood,Chemistry,,,
51640,Hemoglobin  A1,Blood,Chemistry,,,
51641,Hemoglobin  A2,Blood,Chemistry,,,
51642,Hemoglobin  C,Blood,Chemistry,,,
51643,"Hemoglobin, Calculated",Blood,Chemistry,g/dL,,
51644,Hemoglobin  F,Blood,Chemistry,,,
51645,Hemoglobin  S,Blood,Chemistry,,,
51646,Hepatitis B Viral Load,Blood,Chemistry,log10 IU/mL,,
51647,Hepatitis B Virus E Antibody,Blood,Chemistry,,,
51648,Hepatitis B Virus E Antigen,Blood,Chemistry,,,
51649,Hepatitis C Viral Load,Blood,Chemistry,log10 IU/mL,,
51650,High-Sensitivity CRP,Blood,Chemistry,mg/L,,
51651,HIV 1 Ab Confirmation,Blood,Chemistry,N/A,,
51652,HIV 1 Viral Load,Blood,Chemistry,log10 copies/mL|log10 cop/mL,,
51653,HIV 2 Ab Confirmation,Blood,Chemistry,N/A,,
51654,Hlap,Blood,Chemistry,,,
51658,HPE4,Blood,Chemistry,,,
51659,HPE5,Blood,Chemistry,,,
51660,HPE6,Blood,Chemistry,,,
51662,HPE8,Blood,Chemistry,,,
51663,HPE9,Blood,Chemistry,,,
51664,H. pylori IgG Ab,Blood,Chemistry,,,
51665,H. pylori IgG Ab Value,Blood,Chemistry,,,
51666,Hsap,Blood,Chemistry,,,
51667,Htlv Ab,Blood,Chemistry,,,
51668,Icd9,Blood,Chemistry,,,
51669,IFEgel,Blood,Chemistry,,,
51670,Immune Complexes,Blood,Chemistry,,,
51671,Immunoelectrophoresis,Blood,Chemistry,,,
51672,Immunoglobulin E,Blood,Chemistry,,,
51673,INR(PT),Blood,Chemistry,,,
51674,Insulin,Blood,Chemistry,,,
51675,K (GREEN),Blood,Chemistry,mEq/L,,
51677,Lap,Blood,Chemistry,,,
51678,"LD, Isoenzyme 1",Blood,Chemistry,,,
51679,"LD, Isoenzyme 2",Blood,Chemistry,,,
51680,"LD, Isoenzyme 3",Blood,Chemistry,,,
51681,"LD, Isoenzyme 4",Blood,Chemistry,,,
51682,"LD, Isoenzyme 5",Blood,Chemistry,,,
51683,Lidocaine,Blood,Chemistry,,,
51684,Lip2,Blood,Chemistry,,,
51685,Lipo Electrophoresis,Blood,Chemistry,,,
51686,Lyme C6 Ab,Blood,Chemistry,,,
51687,Lyme G and M Value,Blood,Chemistry,,,
51688,Lymphocytes,Blood,Chemistry,,,
51689,MCV,Blood,Chemistry,,,
51690,"Monospot, Rapid Antigen",Blood,Chemistry,,,
51691,Mumps IgG Ab,Blood,Chemistry,,,
51692,Mumps IgG Ab Value,Blood,Chemistry,,,
51693,Myoglobin,Blood,Chemistry,,,
51694,Neural Tube Defect Risk,Blood,Chemistry,,,
51695,Neutrophils,Blood,Chemistry,mmol/L,,
51696,No MD,Blood,Chemistry,,,
51697,Not Done,Blood,Chemistry,,,
51698,Np-fx,Blood,Chemistry,,,
51699,"Osmolality, Calculated",Blood,Chemistry,,,
51700,Park,Blood,Chemistry,,,
51701,PEPgel,Blood,Chemistry,,,
51702,Platelet Count,Blood,Chemistry,,,
51703,Primidone,Blood,Chemistry,,,
51705,Progesterone,Blood,Chemistry,,,
51706,Qnthbsab,Blood,Chemistry,,,
51707,Quantitative RPR Test,Blood,Chemistry,,,
51708,Rapid Plasma Reagin Test,Blood,Chemistry,,,
51709,Red Blood Cells,Blood,Chemistry,,,
51710,Referred,Blood,Chemistry,,,
51711,Reflex Confirmatory Hepatitis C Viral Load,Blood,Chemistry,,,
51712,Reflex HIV Confirmation,Blood,Chemistry,,,
51713,Renin,Blood,Chemistry,,,
51714,Renin,Blood,Chemistry,,,
51715,Reserved,Blood,Chemistry,,,
51716,Reserved1,Blood,Chemistry,,,
51717,Reserved3,Blood,Chemistry,,,
51718,Reserved4,Blood,Chemistry,,,
51719,Reverse T3,Blood,Chemistry,,,
51720,RFXLDLM,Blood,Chemistry,,,
51721,Rubella,Blood,Chemistry,,,
51722,Rubella IgG Ab,Blood,Chemistry,,,
51723,Rubeola IgG Ab,Blood,Chemistry,,,
51724,Rubeola IgG Ab Value,Blood,Chemistry,,,
51725,Send Out,Blood,Chemistry,,,
51726,Serum B12,Blood,Chemistry,,,
51727,Serum B12,Blood,Chemistry,,,
51728,Serum Folate,Blood,Chemistry,,,
51729,Single Stranded DNA,Blood,Chemistry,,,
51736,Thyroid Binding Globulin,Blood,Chemistry,,,
51737,Total CO2,Blood,Chemistry,mEq/L,,
51738,Toxic Screen,Blood,Chemistry,,,
51739,Toxoplasma IgG Ab,Blood,Chemistry,,,
51740,Toxoplasma IgG Ab Value,Blood,Chemistry,,,
51741,Toxoplasma IgM Ab,Blood,Chemistry,,,
51742,Toxoplasma IgM Ab Value,Blood,Chemistry,,,
51743,Toxoplasma Interpretation,Blood,Chemistry,,,
51744,Transferrin Saturation,Blood,Chemistry,,,
51745,Treponemal Antibody Test,Blood,Chemistry,,,
51746,Treponema pallidum (Syphilis) Ab,Blood,Chemistry,,,
51747,Treponema pallidum (syphilis) value,Blood,Chemistry,,,
51748,"UE3, Multiples of Median",Blood,Chemistry,,,
51749,Uncon Bil,Blood,Chemistry,,,
51751,VZV IgG Ab,Blood,Chemistry,,,
51752,VZV IgG Ab Value,Blood,Chemistry,,,
51753,White Blood Cells,Blood,Chemistry,K/uL,,
51754,White Blood Cells,Blood,Chemistry,,,
51755,Xxx,Blood,Chemistry,,,
51756,Xylose,Blood,Chemistry,,,
51757,Z,Blood,Chemistry,,,
51758,Z,Blood,Chemistry,,,
51759,Zinc,Blood,Chemistry,,,
51760,EE1,Blood,Chemistry,,,
51761,EE2,Blood,Chemistry,,,
51762,EE7,Blood,Chemistry,,,
51763,EE3,Blood,Chemistry,,,
51764,EE4,Blood,Chemistry,,,
51765,EE5,Blood,Chemistry,,,
51766,EE6,Blood,Chemistry,,,
51767,RUBIgGV,Blood,Chemistry,,,
51768,MDRDgfr,Blood,Chemistry,,,
51769,,Blood,Chemistry,,,
51770,PAN3,Blood,Chemistry,,,
51771,RFXFRKL,Blood,Chemistry,,,
51772,RFXHCV,Blood,Chemistry,,,
51773,<Albumin>,Cerebrospinal Fluid,Chemistry,mg/dL,,
51774,(Albumin),Cerebrospinal Fluid,Chemistry,,,
51775,"Albumin, CSF",Cerebrospinal Fluid,Chemistry,,,
51776,Alpha-1,Cerebrospinal Fluid,Chemistry,,,
51777,Alpha-2,Cerebrospinal Fluid,Chemistry,,,
51778,"Amylase, CSF",Cerebrospinal Fluid,Chemistry,,,
51779,Beta,Cerebrospinal Fluid,Chemistry,,,
51780,"Bicarbonate, CSF",Cerebrospinal Fluid,Chemistry,,,
51781,"Bilirubin, Total, CSF",Cerebrospinal Fluid,Chemistry,mg/dL,,
51782,"Chloride, CSF",Cerebrospinal Fluid,Chemistry,mEq/L,,
51783,"Cholesterol, CSF",Cerebrospinal Fluid,Chemistry,,,
51784,Clostrid,Cerebrospinal Fluid,Chemistry,,,
51785,"Creatinine, CSF",Cerebrospinal Fluid,Chemistry,,,
51786,Cryptococ,Cerebrospinal Fluid,Chemistry,,,
51787,Fl Scan,Cerebrospinal Fluid,Chemistry,,,
51789,HIV 1 Viral Load,Cerebrospinal Fluid,Chemistry,log10 copies/mL,,
51790,"Immunoelectrophoresis, CSF",Cerebrospinal Fluid,Chemistry,,,
51791,"Immunoglobulin G, CSF",Cerebrospinal Fluid,Chemistry,,,
51792,"Immunoglobulin G, CSF",Cerebrospinal Fluid,Chemistry,,,
51793,"Lactate Dehydrogenase, CSF",Cerebrospinal Fluid,Chemistry,IU/L,,
51794,"Miscellaneous, CSF",Cerebrospinal Fluid,Chemistry,,,
51795,"Osmolality, CSF",Cerebrospinal Fluid,Chemistry,,,
51796,"PEP, CSF",Cerebrospinal Fluid,Chemistry,,,
51797,"PEP, CSF, Gamma Region",Cerebrospinal Fluid,Chemistry,,,
51798,"Potassium, CSF",Cerebrospinal Fluid,Chemistry,,,
51799,"Sodium, CSF",Cerebrospinal Fluid,Chemistry,,,
51801,"Triglycerides, CSF",Cerebrospinal Fluid,Chemistry,,,
51802,"Urea Nitrogen, CSF",Cerebrospinal Fluid,Chemistry,,,
